2023-09-27 10:01:01,152 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Configure stats pid to 9204
2023-09-27 10:01:01,153 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from /home/siddy/.config/wandb/settings
2023-09-27 10:01:01,153 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from /home/siddy/META/DBARC/wandb/settings
2023-09-27 10:01:01,153 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-09-27 10:01:01,153 INFO    MainThread:9204 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-09-27 10:01:01,153 INFO    MainThread:9204 [wandb_init.py:_log_setup():478] Logging user logs to /home/siddy/META/DBARC/wandb/run-20230927_100101-qm77xhw4/logs/debug.log
2023-09-27 10:01:01,154 INFO    MainThread:9204 [wandb_init.py:_log_setup():479] Logging internal logs to /home/siddy/META/DBARC/wandb/run-20230927_100101-qm77xhw4/logs/debug-internal.log
2023-09-27 10:01:01,154 INFO    MainThread:9204 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f57980882b0>
2023-09-27 10:01:01,155 INFO    MainThread:9204 [wandb_init.py:init():518] calling init triggers
2023-09-27 10:01:01,155 INFO    MainThread:9204 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {'architecture': 'Ball-rewire-GAT', 'dataset': 'cornell', 'epoch': 100, 'lr': 0.01, 'weight_decay': 0.001, 'Batch size': 1}
2023-09-27 10:01:01,155 INFO    MainThread:9204 [wandb_init.py:init():571] starting backend
2023-09-27 10:01:01,155 INFO    MainThread:9204 [wandb_init.py:init():575] setting up manager
2023-09-27 10:01:01,158 INFO    MainThread:9204 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-27 10:01:01,161 INFO    MainThread:9204 [wandb_init.py:init():582] backend started and connected
2023-09-27 10:01:01,173 INFO    MainThread:9204 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-09-27 10:01:01,174 INFO    MainThread:9204 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-27 10:01:01,174 INFO    MainThread:9204 [wandb_init.py:init():670] updated telemetry
2023-09-27 10:01:01,214 INFO    MainThread:9204 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-09-27 10:01:02,033 INFO    MainThread:9204 [wandb_run.py:_on_init():2121] communicating current version
